Coefficients for Alpha Spectrin

0 atoms
42 atom types
0 bonds
41 bond types
0 angles
40 angle types

0 0 xlo xhi
0 0 ylo yhi
0 0 zlo zhi

Masses

1 18121.2887
2 1263.554
3 11018.2408
4 1116.269
5 10799.2278
6 1496.74
7 11058.7018
8 1294.449
9 11016.1008
10 1167.482
11 11023.2288
12 1208.322
13 11057.3328
14 1171.473
15 10755.0208
16 1157.206
17 8933.870800000001
18 5067.8109
19 6177.9699
20 1290.532
21 10663.7918
22 1010.14
23 10933.9498
24 1254.454
25 10911.2138
26 1219.438
27 10937.2478
28 1150.302
29 11190.2758
30 1213.367
31 10961.4098
32 1193.435
33 11045.5368
34 1216.398
35 11113.4088
36 1235.228
37 11953.5388
38 1171.317
39 11379.8468
40 1212.355
41 12757.5148
42 17941.8887

Bond Coeffs # harmonic

1 2.045 46.1746
2 5.825 23.4984
3 4.228 26.8487
4 2.885 23.3675
5 5.96 26.2061
6 7.155 23.162
7 7.6 26.5093
8 6.976 23.1642
9 4.116 27.0226
10 2.448 22.9662
11 1 25.385
12 4.414 22.0843
13 3.833 26.5635
14 3.1 23.7467
15 5.165 24.4217
16 1.221 20.7661
17 0.275 40.283
18 0.247 29.8576
19 0.315 42.2959
20 4.921 23.0997
21 0.622 24.3761
22 3.942 23.6432
23 4.625 27.5279
24 5.61 24.0771
25 5.383 26.705
26 4.342 23.231
27 0.594 25.2867
28 3.183 22.0111
29 3.759 24.9744
30 4.732 23.8018
31 4.27 25.416
32 2.483 25.7527
33 4.777 24.6831
34 2.623 24.9634
35 1.963 27.6717
36 3.459 26.8195
37 0.854 35.2366
38 2.821 25.4128
39 5.6 27.0142
40 1.766 34.3423
41 0.03 50.9712

Angle Coeffs # harmonic

1 69.386 163.998
2 314.499 175.7
3 144.392 172.091
4 431.93 174.182
5 75.83 167.946
6 492.352 175.398
7 136.887 161.003
8 337.411 166.74
9 99.209 171.731
10 97.609 141.892
11 31.388 114.574
12 288.624 153.211
13 78.482 160.025
14 237.823 171.687
15 86.92 171.082
16 294.159 33.7401
17 2904.9 13.9182
18 63.607 153.616
19 62.496 156.412
20 217.821 147.051
21 123.821 81.2009
22 186.414 170.284
23 132.593 172.92
24 381.213 174.483
25 165.011 171.85
26 80.455 162.804
27 71.636 95.767
28 183.101 156.335
29 85.786 147.715
30 178.587 158.828
31 85.495 166.611
32 180.507 174.671
33 93.417 163.137
34 176.485 165.404
35 37.427 153.369
36 170.776 157.81
37 78.479 81.569
38 247.384 172.399
39 47.626 161.699
40 27.584 166.421
