# Chunk-averaged data for fix tensions and group all
# Timestep Number-of-chunks Total-count
# Chunk Ncount v_netTension
0 20 840
  1 42 6.24132e-11
  2 42 7.16731e-11
  3 42 7.2127e-11
  4 42 6.68484e-11
  5 42 6.82865e-11
  6 42 8.22144e-11
  7 42 6.44612e-11
  8 42 6.18855e-11
  9 42 5.83276e-11
  10 42 7.08242e-11
  11 42 6.44325e-11
  12 42 7.11201e-11
  13 42 8.75499e-11
  14 42 6.20338e-11
  15 42 5.51013e-11
  16 42 7.46928e-11
  17 42 6.54941e-11
  18 42 5.07883e-11
  19 42 7.06396e-11
  20 42 -1.49454e-10
100 20 840
  1 42 0.0478102
  2 42 -1.90814
  3 42 -2.67381
  4 42 -3.03699
  5 42 -2.33683
  6 42 -0.48895
  7 42 0.949249
  8 42 1.13104
  9 42 1.6191
  10 42 -0.174981
  11 42 0.354032
  12 42 0.289192
  13 42 -2.2194
  14 42 0.267328
  15 42 -1.3603
  16 42 -0.497539
  17 42 1.74046
  18 42 -0.250945
  19 42 -1.54529
  20 42 -1.54244
200 20 840
  1 42 -1.01721
  2 42 -2.61312
  3 42 -2.02781
  4 42 -2.23481
  5 42 -0.992696
  6 42 -2.79219
  7 42 -0.34381
  8 42 2.11858
  9 42 -2.56916
  10 42 -0.957479
  11 42 -2.24984
  12 42 -1.15357
  13 42 -0.782167
  14 42 -1.82726
  15 42 0.380752
  16 42 0.582926
  17 42 -0.567224
  18 42 -1.83281
  19 42 -1.20609
  20 42 0.428615
300 20 840
  1 42 -2.37029
  2 42 -0.085129
  3 42 -0.364394
  4 42 -1.07197
  5 42 0.785069
  6 42 -0.83861
  7 42 -1.79944
  8 42 -1.14764
  9 42 -0.142955
  10 42 -1.0059
  11 42 -1.89331
  12 42 0.539078
  13 42 0.519384
  14 42 1.01069
  15 42 1.5062
  16 42 -0.627044
  17 42 -2.64592
  18 42 -1.13484
  19 42 -2.46887
  20 42 -0.0526538
400 20 840
  1 42 -0.549144
  2 42 0.318661
  3 42 1.36639
  4 42 0.116703
  5 42 0.301658
  6 42 1.05962
  7 42 0.380407
  8 42 -2.724
  9 42 -1.30841
  10 42 0.874689
  11 42 0.0962513
  12 42 2.77088
  13 42 1.27022
  14 42 0.912345
  15 42 -0.411125
  16 42 -3.00816
  17 42 -0.992432
  18 42 -0.853608
  19 42 0.968087
  20 42 -1.21952
500 20 840
  1 42 -1.75184
  2 42 -1.43793
  3 42 -0.653878
  4 42 2.22923
  5 42 -0.231258
  6 42 -0.418185
  7 42 -3.11462
  8 42 -1.0435
  9 42 0.722165
  10 42 0.840749
  11 42 1.19304
  12 42 -0.934119
  13 42 0.846928
  14 42 -0.985939
  15 42 2.18345
  16 42 -0.354257
  17 42 -0.0693841
  18 42 -2.61114
  19 42 -0.972832
  20 42 -0.467901
600 20 840
  1 42 -0.349573
  2 42 1.31671
  3 42 -1.2327
  4 42 1.30057
  5 42 -0.714252
  6 42 -0.499614
  7 42 -0.267476
  8 42 -0.868993
  9 42 -1.57324
  10 42 -1.51401
  11 42 2.30989
  12 42 0.103467
  13 42 0.349038
  14 42 -0.774868
  15 42 1.30832
  16 42 -2.20425
  17 42 1.12442
  18 42 -0.166625
  19 42 2.29745
  20 42 0.53343
700 20 840
  1 42 -0.303938
  2 42 1.30153
  3 42 -3.83875
  4 42 0.292049
  5 42 -0.575177
  6 42 -0.814745
  7 42 -0.612971
  8 42 -0.427951
  9 42 0.921114
  10 42 -0.805664
  11 42 1.08208
  12 42 -0.310018
  13 42 -3.51986
  14 42 2.1864
  15 42 -0.40168
  16 42 0.297043
  17 42 0.577619
  18 42 0.196184
  19 42 -3.20713
  20 42 -1.02666
800 20 840
  1 42 -1.66083
  2 42 -0.135626
  3 42 -0.757471
  4 42 -2.43442
  5 42 1.36631
  6 42 -0.634604
  7 42 0.434505
  8 42 1.7213
  9 42 -2.18645
  10 42 -0.946343
  11 42 -2.11863
  12 42 1.31235
  13 42 -2.80949
  14 42 -1.57486
  15 42 -0.915199
  16 42 3.92371
  17 42 -2.08908
  18 42 -0.183313
  19 42 0.634918
  20 42 1.96582
900 20 840
  1 42 -0.738861
  2 42 1.6315
  3 42 3.32521
  4 42 -0.497648
  5 42 -0.505001
  6 42 -0.930757
  7 42 -1.11438
  8 42 -0.0668513
