# Chunk-averaged data for fix tensions and group all
# Timestep Number-of-chunks Total-count
# Chunk Ncount v_netTension
0 20 640
  1 32 2.55691e-11
  2 32 2.73233e-11
  3 32 2.61571e-11
  4 32 2.59469e-11
  5 32 2.46408e-11
  6 32 2.7348e-11
  7 32 2.35974e-11
  8 32 2.68031e-11
  9 32 2.47885e-11
  10 32 2.67317e-11
  11 32 1.21685e-11
  12 32 2.50082e-11
  13 32 2.3522e-11
  14 32 2.32274e-11
  15 32 2.66826e-11
  16 32 2.30174e-11
  17 32 2.53212e-11
  18 32 2.46759e-11
  19 32 2.40991e-11
  20 32 2.73862e-11
100 20 640
  1 32 -0.349743
  2 32 -0.916811
  3 32 1.44305
  4 32 1.88681
  5 32 -1.15953
  6 32 -1.07656
  7 32 1.76751
  8 32 -0.888429
  9 32 -0.889511
  10 32 1.09447
  11 32 -1.1193
  12 32 0.759407
  13 32 -0.903849
  14 32 0.56311
  15 32 -1.87905
  16 32 1.91394
  17 32 -1.17148
  18 32 -0.475906
  19 32 -0.0810776
  20 32 -1.77477
200 20 640
  1 32 -0.499897
  2 32 -1.8319
  3 32 2.4024
  4 32 2.92642
  5 32 -2.53335
  6 32 -2.03675
  7 32 2.5368
  8 32 -1.7817
  9 32 -1.7116
  10 32 1.75127
  11 32 -2.08735
  12 32 0.893212
  13 32 -1.93411
  14 32 0.640933
  15 32 -4.50562
  16 32 3.20355
  17 32 -2.40912
  18 32 -1.22089
  19 32 -0.554871
  20 32 -2.96719
300 20 640
  1 32 -0.378582
  2 32 -2.03639
  3 32 2.83314
  4 32 3.12093
  5 32 -3.3056
  6 32 -2.36959
  7 32 3.13215
  8 32 -2.0171
  9 32 -2.12159
  10 32 2.1361
  11 32 -2.98524
  12 32 1.04962
  13 32 -2.20944
  14 32 0.598759
  15 32 -5.0319
  16 32 3.67261
  17 32 -3.42594
  18 32 -1.80512
  19 32 -0.494924
  20 32 -3.63008
400 20 640
  1 32 -0.443112
  2 32 -1.76552
  3 32 2.23084
  4 32 2.54705
  5 32 -3.20778
  6 32 -2.38613
  7 32 2.93012
  8 32 -1.46532
  9 32 -2.29719
  10 32 2.07028
  11 32 -3.45337
  12 32 0.938184
  13 32 -2.80676
  14 32 0.1271
  15 32 -5.23767
  16 32 3.0934
  17 32 -3.42674
  18 32 -2.3046
  19 32 -0.618382
  20 32 -3.47934
500 20 640
  1 32 -0.820606
  2 32 -1.46459
  3 32 1.44789
  4 32 1.72303
  5 32 -2.53388
  6 32 -1.69829
  7 32 2.06213
  8 32 -0.65527
  9 32 -1.70354
  10 32 1.13747
  11 32 -3.21413
  12 32 0.730001
  13 32 -2.22188
  14 32 -0.101309
  15 32 -4.59929
  16 32 1.62047
  17 32 -2.42589
  18 32 -2.18375
  19 32 -0.659823
  20 32 -2.82903
600 20 640
  1 32 -0.721052
  2 32 -1.17295
  3 32 0.00792899
  4 32 0.414289
  5 32 -0.95905
  6 32 -1.02034
  7 32 0.796685
  8 32 0.415022
  9 32 -0.658438
  10 32 0.192355
  11 32 -1.92171
  12 32 0.884017
  13 32 -1.59796
  14 32 -0.543437
  15 32 -2.76046
  16 32 0.798717
  17 32 -1.36859
  18 32 -1.16183
  19 32 -0.904439
  20 32 -1.52732
700 20 640
  1 32 -0.782712
  2 32 -0.773396
  3 32 -1.16178
  4 32 -1.07084
  5 32 0.385582
  6 32 -0.138382
  7 32 -0.801137
  8 32 1.48437
  9 32 0.0489755
  10 32 -0.593481
  11 32 -0.355833
  12 32 0.391641
  13 32 -0.388519
  14 32 -1.03455
  15 32 -0.394179
  16 32 -0.177116
  17 32 -0.183412
  18 32 -0.304815
  19 32 -1.07081
  20 32 0.279005
800 20 640
  1 32 -0.613343
  2 32 -0.262731
  3 32 -2.21344
  4 32 -2.20847
  5 32 1.50746
  6 32 0.633855
  7 32 -1.95015
  8 32 2.09997
  9 32 0.362395
  10 32 -1.22155
  11 32 0.542352
  12 32 -0.242286
  13 32 0.689551
  14 32 -1.07951
  15 32 1.29056
  16 32 -1.99223
  17 32 0.949569
  18 32 0.405024
  19 32 -1.18438
  20 32 1.79234
900 20 640
  1 32 -0.427125
  2 32 0.14388
  3 32 -2.90578
  4 32 -3.02405
  5 32 2.35621
  6 32 1.06844
  7 32 -2.28403
  8 32 2.61181
  9 32 1.13714
  10 32 -1.53108
  11 32 0.824503
  12 32 -0.497239
  13 32 1.73293
  14 32 -1.03912
  15 32 1.99837
  16 32 -3.00235
  17 32 1.53376
  18 32 0.583761
  19 32 -0.761322
