# Chunk-averaged data for fix bowForces and group all
# Timestep Number-of-chunks Total-count
# Chunk Ncount c_bowComp
0 20 840
  1 42 0.10126
  2 42 0.10126
  3 42 0.10126
  4 42 0.10126
  5 42 0.10126
  6 42 0.10126
  7 42 0.10126
  8 42 0.10126
  9 42 0.10126
  10 42 0.10126
  11 42 0.10126
  12 42 0.10126
  13 42 0.10126
  14 42 0.10126
  15 42 0.10126
  16 42 0.10126
  17 42 0.10126
  18 42 0.10126
  19 42 0.10126
  20 42 0.10126
100 20 840
  1 42 2.66857
  2 42 0.391082
  3 42 -0.968201
  4 42 -2.65906
  5 42 -0.886758
  6 42 0.604426
  7 42 1.83305
  8 42 0.951084
  9 42 1.41445
  10 42 2.182
  11 42 0.567139
  12 42 -0.750721
  13 42 -3.65783
  14 42 0.440929
  15 42 0.262749
  16 42 1.86875
  17 42 -1.19259
  18 42 -0.883302
  19 42 -3.60763
  20 42 3.07604
200 20 840
  1 42 -2.48539
  2 42 -0.875608
  3 42 -1.81984
  4 42 -2.57073
  5 42 -0.66108
  6 42 -2.71148
  7 42 0.831653
  8 42 0.0765291
  9 42 1.19458
  10 42 -0.917575
  11 42 -0.318539
  12 42 1.65999
  13 42 0.245761
  14 42 0.534524
  15 42 -1.62707
  16 42 -0.0912763
  17 42 -0.641063
  18 42 -0.0130721
  19 42 -2.13536
  20 42 -1.03286
300 20 840
  1 42 -1.95909
  2 42 -1.11893
  3 42 1.01946
  4 42 -0.297859
  5 42 1.55476
  6 42 -1.49577
  7 42 -0.0657804
  8 42 -1.09542
  9 42 0.662824
  10 42 -1.0207
  11 42 1.34874
  12 42 1.82586
  13 42 -0.56377
  14 42 2.19965
  15 42 1.87759
  16 42 -0.919918
  17 42 0.0625669
  18 42 -4.22688
  19 42 0.487062
  20 42 0.38582
400 20 840
  1 42 -0.297169
  2 42 0.256909
  3 42 -4.26285
  4 42 1.12235
  5 42 -5.87705
  6 42 -0.427213
  7 42 -0.335179
  8 42 0.601741
  9 42 0.830222
  10 42 4.4748
  11 42 -0.98976
  12 42 1.43248
  13 42 3.33213
  14 42 1.14789
  15 42 -0.125436
  16 42 -3.78078
  17 42 0.278712
  18 42 -1.29381
  19 42 2.35452
  20 42 -3.46445
500 20 840
  1 42 -2.89504
  2 42 -1.03253
  3 42 0.863646
  4 42 -2.60979
  5 42 -1.13834
  6 42 -4.52393
  7 42 0.858068
  8 42 -0.53443
  9 42 0.233596
  10 42 3.00068
  11 42 -1.14291
  12 42 1.12581
  13 42 -1.74403
  14 42 -1.90965
  15 42 2.13342
  16 42 0.959053
  17 42 -4.3793
  18 42 -2.49716
  19 42 0.724537
  20 42 -0.0826063
600 20 840
  1 42 0.346148
  2 42 1.16031
  3 42 -2.62859
  4 42 -1.98492
  5 42 2.61374
  6 42 -3.7131
  7 42 -0.00979958
  8 42 -2.243
  9 42 0.394704
  10 42 1.90138
  11 42 1.25476
  12 42 -0.502864
  13 42 -2.49464
  14 42 -2.34079
  15 42 2.02949
  16 42 -1.06234
  17 42 -0.524373
  18 42 -1.10447
  19 42 2.56422
  20 42 -1.71047
700 20 840
  1 42 0.523782
  2 42 -1.46077
  3 42 -0.747043
  4 42 -0.283374
  5 42 0.918921
  6 42 1.75223
  7 42 1.18023
  8 42 -2.34309
  9 42 -0.114005
  10 42 -1.9135
  11 42 -0.599028
  12 42 -1.9448
  13 42 0.810877
  14 42 1.43557
  15 42 -2.72589
  16 42 0.018179
  17 42 1.4463
  18 42 -0.511783
  19 42 -1.60065
  20 42 -0.0689713
800 20 840
  1 42 1.52203
  2 42 -1.33697
  3 42 -2.4379
  4 42 2.42829
  5 42 -0.631051
  6 42 1.05368
  7 42 -2.9106
  8 42 -0.133814
  9 42 -0.0484208
  10 42 -1.56692
  11 42 2.89792
  12 42 0.702473
  13 42 -1.80154
  14 42 2.43165
  15 42 -1.57987
  16 42 0.276223
  17 42 -0.536748
  18 42 1.36852
  19 42 -1.13497
  20 42 1.3351
900 20 840
  1 42 0.261633
  2 42 -1.48596
  3 42 1.5003
  4 42 0.16616
  5 42 0.216479
  6 42 -2.4086
  7 42 -2.36968
  8 42 1.76999
  9 42 -0.0171071
  10 42 -0.912532
  11 42 1.78124
  12 42 -0.957055
  13 42 -0.0914924
  14 42 -0.139271
  15 42 -3.87609
  16 42 1.45937
  17 42 1.77006
  18 42 1.17912
  19 42 -1.93408
  20 42 2.54888
1000 20 840
  1 42 1.48613
  2 42 -1.51182
  3 42 -1.33865
  4 42 -0.715152
  5 42 -1.26785
  6 42 -1.43262
  7 42 -1.86409
  8 42 0.350338
  9 42 -1.83653
  10 42 0.424802
  11 42 0.658087
  12 42 -3.28753
  13 42 -1.15516
  14 42 -1.73847
  15 42 -3.7798
  16 42 -1.71596
  17 42 0.158505
  18 42 4.27233
  19 42 -3.51312
  20 42 2.63007
1100 20 840
  1 42 0.432956
  2 42 0.337343
  3 42 2.16327
  4 42 0.404595
  5 42 3.15578
  6 42 0.224022
  7 42 -1.09635
  8 42 1.18843
  9 42 -1.89152
  10 42 1.31403
  11 42 2.01702
  12 42 -0.76072
  13 42 -0.659379
  14 42 -1.32762
  15 42 -0.909168
  16 42 1.64181
  17 42 1.32006
  18 42 1.48113
  19 42 -1.42711
  20 42 0.837546
1200 20 840
  1 42 0.896746
  2 42 -1.75312
  3 42 1.09106
  4 42 2.1745
  5 42 0.622151
  6 42 0.832387
  7 42 -1.24771
  8 42 0.443639
  9 42 0.774292
  10 42 1.48569
  11 42 2.06117
  12 42 -1.97317
  13 42 2.46956
  14 42 0.253729
  15 42 -1.73681
  16 42 -4.03446
  17 42 -0.709528
  18 42 1.56166
  19 42 5.06965
  20 42 0.300625
1300 20 840
  1 42 -1.07974
  2 42 0.248774
  3 42 2.92467
  4 42 -0.569321
  5 42 -0.767432
  6 42 -0.913782
  7 42 1.4314
  8 42 0.523063
  9 42 -1.53131
  10 42 -0.589201
  11 42 0.761393
  12 42 -1.96277
  13 42 -1.16217
  14 42 -0.424693
  15 42 -0.21158
  16 42 -0.283305
  17 42 1.9951
  18 42 0.505367
  19 42 -0.471966
  20 42 -2.67606
1400 20 840
  1 42 1.1527
  2 42 -1.71814
  3 42 -1.94766
  4 42 -0.709829
  5 42 -1.8224
  6 42 -0.128577
  7 42 -0.632299
  8 42 1.26495
  9 42 1.8573
  10 42 -2.18576
  11 42 3.86408
  12 42 3.57357
  13 42 -2.02779
  14 42 -0.087398
  15 42 1.78877
  16 42 -3.47272
  17 42 -0.311959
  18 42 -2.62328
  19 42 3.05477
  20 42 -1.38758
1500 20 840
  1 42 -2.0787
  2 42 -0.631664
  3 42 -1.79939
  4 42 -1.09608
  5 42 0.892199
  6 42 -0.63261
  7 42 3.91874
  8 42 0.852276
  9 42 0.940904
  10 42 1.82542
  11 42 -0.0549313
  12 42 -1.24678
  13 42 0.840295
  14 42 0.164646
  15 42 -2.05354
  16 42 0.0194641
  17 42 -1.84714
  18 42 -0.803512
  19 42 -3.54229
  20 42 0.695028
1600 20 840
  1 42 0.226347
  2 42 0.618538
  3 42 -2.18819
  4 42 0.583415
  5 42 1.37802
  6 42 -0.74548
  7 42 -0.502046
  8 42 0.262109
  9 42 1.97556
  10 42 0.48236
  11 42 -0.0313067
  12 42 -3.45333
  13 42 0.30529
  14 42 0.487935
  15 42 2.30124
  16 42 -0.738031
  17 42 -3.33461
  18 42 -2.38324
  19 42 -4.99832
  20 42 1.82827
1700 20 840
  1 42 0.538116
  2 42 1.12122
  3 42 2.39278
  4 42 0.60627
  5 42 -2.29954
  6 42 -2.68892
  7 42 -1.49035
  8 42 1.63081
  9 42 0.798409
  10 42 1.66792
  11 42 1.6262
  12 42 2.12959
  13 42 1.71658
  14 42 0.238654
  15 42 1.13195
  16 42 -3.25735
  17 42 -0.964558
  18 42 0.578811
  19 42 0.75041
  20 42 -3.81502
1800 20 840
  1 42 -3.23976
  2 42 -1.75175
  3 42 0.268129
  4 42 1.3501
  5 42 -2.62876
  6 42 -3.06207
  7 42 0.639896
  8 42 2.7032
  9 42 -1.16797
  10 42 2.18543
  11 42 -0.971633
  12 42 1.96182
  13 42 0.594066
  14 42 0.656302
  15 42 0.578573
  16 42 1.77983
  17 42 0.0332731
  18 42 -1.52132
  19 42 0.372699
  20 42 1.11435
1900 20 840
  1 42 1.1167
  2 42 -0.060187
  3 42 2.64057
  4 42 2.5933
  5 42 -0.718154
  6 42 1.68279
  7 42 -0.672124
  8 42 -1.77488
  9 42 2.28649
  10 42 0.481706
  11 42 -1.83932
  12 42 -0.805014
  13 42 0.0257413
  14 42 2.20655
  15 42 0.585956
  16 42 0.476961
  17 42 1.10723
  18 42 0.873546
  19 42 -0.427119
  20 42 0.577341
2000 20 840
  1 42 0.290511
  2 42 -0.78704
  3 42 -4.10791
  4 42 -0.568196
  5 42 2.09339
  6 42 -1.13276
  7 42 -0.21778
  8 42 -3.02725
  9 42 1.64928
  10 42 -0.293253
  11 42 -1.12876
  12 42 0.703044
  13 42 1.52463
  14 42 0.99361
  15 42 -0.19171
  16 42 -0.0778479
  17 42 4.48894
  18 42 2.00869
  19 42 2.42655
  20 42 0.976282
2100 20 840
  1 42 -1.79292
  2 42 1.81246
  3 42 3.92138
  4 42 0.8752
  5 42 2.94925
  6 42 2.43097
  7 42 0.797317
  8 42 -1.23842
  9 42 -2.58544
  10 42 -2.48182
  11 42 -1.10047
  12 42 0.977063
  13 42 -2.84474
  14 42 0.336059
  15 42 2.40746
  16 42 2.86481
  17 42 0.0358455
  18 42 -0.0307025
  19 42 -1.03172
  20 42 1.61883
2200 20 840
  1 42 1.43237
  2 42 0.978352
  3 42 -0.913989
  4 42 0.478446
  5 42 -2.5017
  6 42 2.49188
  7 42 -3.47941
  8 42 1.98401
  9 42 0.599609
  10 42 -0.754772
  11 42 1.03362
  12 42 1.46328
  13 42 2.34047
  14 42 -0.320991
  15 42 -2.58184
  16 42 -0.0124457
  17 42 3.4626
  18 42 0.929757
  19 42 2.35615
  20 42 -1.76355
2300 20 840
  1 42 0.394437
  2 42 0.0564321
  3 42 1.53654
  4 42 -0.549224
  5 42 2.07676
  6 42 -1.11888
  7 42 -0.667932
  8 42 0.360709
  9 42 1.20381
  10 42 -0.460769
  11 42 -3.62734
  12 42 0.539114
  13 42 0.525439
  14 42 -1.20562
  15 42 0.12693
  16 42 3.074
  17 42 -0.72542
  18 42 2.04267
  19 42 -1.30444
  20 42 2.82655
2400 20 840
  1 42 0.478644
  2 42 1.35507
  3 42 0.596862
  4 42 3.4733
  5 42 -0.21362
  6 42 1.4812
  7 42 -3.4674
  8 42 -0.144232
  9 42 -1.30063
  10 42 0.278741
  11 42 0.515212
  12 42 0.507365
  13 42 0.84047
  14 42 -1.11566
  15 42 1.16059
  16 42 -0.844592
  17 42 1.47058
  18 42 0.120937
  19 42 -4.08005
  20 42 0.761092
2500 20 840
  1 42 1.20067
  2 42 -0.210479
  3 42 1.69482
  4 42 -1.56231
  5 42 1.1852
  6 42 2.64926
  7 42 2.92158
  8 42 3.16283
  9 42 -0.532929
  10 42 0.165651
  11 42 -1.78961
  12 42 0.541082
  13 42 2.37089
  14 42 0.389744
  15 42 0.740871
  16 42 -0.783113
  17 42 2.74823
  18 42 0.172912
  19 42 2.08473
  20 42 2.33038
2600 20 840
  1 42 3.55318
  2 42 0.00651436
  3 42 2.39272
  4 42 -1.66974
  5 42 1.85293
  6 42 1.04316
  7 42 4.06809
  8 42 -0.603801
  9 42 2.00051
  10 42 -3.31381
  11 42 4.64635
  12 42 0.655956
  13 42 -2.91192
  14 42 -2.46358
  15 42 2.04882
  16 42 0.508472
  17 42 1.83459
  18 42 -0.547926
  19 42 0.916532
  20 42 -2.63005
2700 20 840
  1 42 -0.767531
  2 42 0.127487
  3 42 1.69472
  4 42 -0.117689
  5 42 -1.58158
  6 42 0.0814339
  7 42 0.308986
  8 42 1.88423
  9 42 3.83408
  10 42 -0.621257
  11 42 -2.41682
  12 42 1.22277
  13 42 2.91135
  14 42 1.06686
  15 42 -0.736366
  16 42 -0.0263183
  17 42 2.44727
  18 42 1.22797
  19 42 3.02612
  20 42 -3.87237
2800 20 840
  1 42 0.899814
  2 42 -2.16949
  3 42 -0.758482
  4 42 4.04923
  5 42 0.572863
  6 42 2.28046
  7 42 5.75602
  8 42 1.08627
  9 42 0.285245
  10 42 2.44212
  11 42 -0.144778
  12 42 -1.47452
  13 42 0.700359
  14 42 1.15331
  15 42 -0.907376
  16 42 -2.47951
  17 42 -0.758442
  18 42 -1.55565
  19 42 1.48086
  20 42 -1.42656
2900 20 840
  1 42 -0.217889
  2 42 2.41516
  3 42 1.26172
  4 42 -1.76419
  5 42 -0.918789
  6 42 -0.312765
  7 42 1.18115
  8 42 2.44605
  9 42 0.901976
  10 42 -0.454526
  11 42 -4.04204
  12 42 3.9249
  13 42 2.06994
  14 42 0.11817
  15 42 2.62947
  16 42 -0.02659
  17 42 -1.38269
  18 42 -0.483416
  19 42 -0.759216
  20 42 -3.54563
3000 20 840
  1 42 -1.29432
  2 42 1.20326
  3 42 0.25238
  4 42 1.39824
  5 42 0.424881
  6 42 -2.70143
  7 42 0.357431
  8 42 0.0796229
  9 42 0.506319
  10 42 0.981015
  11 42 3.65665
  12 42 -0.789513
  13 42 -0.649486
  14 42 -1.95882
  15 42 1.9546
  16 42 0.658797
  17 42 -4.56981
  18 42 -3.62517
  19 42 -1.38844
  20 42 3.04884
3100 20 840
  1 42 1.12381
  2 42 1.88457
  3 42 1.21198
  4 42 0.632087
  5 42 2.11533
  6 42 -0.575871
  7 42 0.914799
  8 42 1.7058
  9 42 -2.62422
  10 42 2.01506
  11 42 -1.36444
  12 42 -0.394629
  13 42 1.17285
  14 42 0.134578
  15 42 3.24929
  16 42 1.71124
  17 42 -2.25046
  18 42 -1.05423
  19 42 2.48457
  20 42 4.0401
3200 20 840
  1 42 -1.26588
  2 42 -0.829582
  3 42 -0.774248
  4 42 3.8113
  5 42 -0.665662
  6 42 2.95793
  7 42 -1.94039
  8 42 -1.43295
  9 42 5.04776
  10 42 -2.37391
  11 42 -1.51848
  12 42 4.27131
  13 42 1.92347
  14 42 2.5829
  15 42 0.477562
  16 42 1.99959
  17 42 0.671471
  18 42 -2.72195
  19 42 -1.52979
  20 42 -0.780273
3300 20 840
  1 42 -3.03458
  2 42 1.58797
  3 42 -0.626239
  4 42 -1.20114
  5 42 -1.00414
  6 42 -0.299167
  7 42 1.39393
  8 42 -0.239059
  9 42 1.15474
  10 42 -0.681369
  11 42 -0.772956
  12 42 2.64593
  13 42 -1.40915
