# Chunk-averaged data for fix netEndForces and group all
# Timestep Number-of-chunks Total-count
# Chunk Ncount v_netEndForce
0 20 840
  1 42 1.35535e-11
  2 42 1.36599e-11
  3 42 1.96391e-11
  4 42 1.98883e-11
  5 42 1.52415e-11
  6 42 2.05154e-11
  7 42 7.70281e-12
  8 42 3.98903e-12
  9 42 1.84046e-11
  10 42 2.28418e-11
  11 42 1.74065e-11
  12 42 1.58896e-11
  13 42 -1.63048e-11
  14 42 1.62468e-11
  15 42 2.63278e-12
  16 42 -1.66435e-11
  17 42 1.9368e-11
  18 42 1.22246e-11
  19 42 1.18193e-11
  20 42 8.89611e-12
100 20 840
  1 42 -0.213922
  2 42 0.363027
  3 42 0.903025
  4 42 -0.141591
  5 42 -0.87488
  6 42 1.44712
  7 42 -0.935626
  8 42 0.967035
  9 42 1.23713
  10 42 -0.438236
  11 42 0.611363
  12 42 0.645636
  13 42 0.386514
  14 42 -0.413175
  15 42 -0.581812
  16 42 0.166896
  17 42 -0.812487
  18 42 0.376289
  19 42 -0.669291
  20 42 -0.13164
200 20 840
  1 42 -0.218689
  2 42 -1.04156
  3 42 -0.0165956
  4 42 0.593749
  5 42 0.600416
  6 42 0.909247
  7 42 0.827482
  8 42 0.835117
  9 42 -1.15044
  10 42 -1.52224
  11 42 -1.16905
  12 42 -0.152438
  13 42 -0.255314
  14 42 -0.0841499
  15 42 0.143689
  16 42 -0.534752
  17 42 0.799217
  18 42 0.918074
  19 42 2.177
  20 42 -2.01823
300 20 840
  1 42 -0.429945
  2 42 -0.703011
  3 42 -1.18567
  4 42 -1.48627
  5 42 0.399328
  6 42 1.14516
  7 42 -0.945758
  8 42 -0.553347
  9 42 0.74809
  10 42 1.45308
  11 42 -1.06203
  12 42 -0.58075
  13 42 -0.0180213
  14 42 0.92699
  15 42 -1.94964
  16 42 1.12136
  17 42 0.540327
  18 42 1.28269
  19 42 -0.708075
  20 42 1.07996
400 20 840
  1 42 0.68883
  2 42 0.049992
  3 42 -0.202893
  4 42 0.218436
  5 42 -0.987123
  6 42 -0.481389
  7 42 0.568109
  8 42 0.196447
  9 42 -0.915914
  10 42 -0.800803
  11 42 1.44486
  12 42 -0.922866
  13 42 -0.415016
  14 42 -0.352677
  15 42 -0.0160706
  16 42 0.177317
  17 42 -0.0658727
  18 42 0.282825
  19 42 -0.137453
  20 42 -1.17697
500 20 840
  1 42 -0.360608
  2 42 -0.527487
  3 42 -1.41164
  4 42 -0.614269
  5 42 0.114827
  6 42 -0.493518
  7 42 -0.682425
  8 42 1.26616
  9 42 -0.858714
  10 42 0.571128
  11 42 0.631792
  12 42 0.99157
  13 42 -0.789088
  14 42 -0.511831
  15 42 0.649359
  16 42 -0.311366
  17 42 -1.08553
  18 42 -0.536489
  19 42 0.946519
  20 42 0.544375
600 20 840
  1 42 -1.21266
  2 42 0.386924
  3 42 -1.51153
  4 42 -1.02082
  5 42 0.803353
  6 42 -0.870791
  7 42 -0.165635
  8 42 0.472245
  9 42 -0.341328
  10 42 1.5034
  11 42 -0.477857
  12 42 0.2673
  13 42 -0.142661
  14 42 -0.648034
  15 42 -1.03164
  16 42 0.0060054
  17 42 -1.32811
  18 42 -1.51318
  19 42 0.697793
  20 42 1.07265
700 20 840
  1 42 -0.65226
  2 42 0.028056
  3 42 -0.360886
  4 42 0.166846
  5 42 0.640171
  6 42 -1.9218
  7 42 0.58418
  8 42 0.137617
  9 42 -1.96182
  10 42 -1.50698
  11 42 0.990135
  12 42 -1.68754
  13 42 0.569627
  14 42 -0.9992
  15 42 -0.603305
  16 42 0.354597
  17 42 -0.27101
  18 42 -1.42315
  19 42 -0.0527751
  20 42 -0.715019
800 20 840
  1 42 -0.699405
  2 42 0.811688
  3 42 -0.556831
  4 42 -1.53905
  5 42 -0.515578
  6 42 0.278029
  7 42 -1.43335
  8 42 -0.970238
  9 42 -0.295186
  10 42 2.28097
  11 42 -0.289622
  12 42 0.132816
  13 42 -0.947955
  14 42 0.101379
  15 42 -1.76415
  16 42 1.66174
  17 42 0.0434124
  18 42 0.80636
  19 42 -0.900683
  20 42 0.601412
900 20 840
  1 42 -0.0124604
  2 42 -1.40836
  3 42 1.20368
  4 42 0.308232
  5 42 -0.342902
  6 42 -0.19433
  7 42 0.682316
  8 42 0.552617
  9 42 -0.924201
  10 42 -0.912903
  11 42 0.0664028
  12 42 0.348539
  13 42 -0.979335
  14 42 -0.714615
  15 42 0.0875762
  16 42 -0.0555547
  17 42 0.533934
  18 42 0.526254
  19 42 1.73005
  20 42 -0.887781
1000 20 840
  1 42 0.236398
  2 42 -0.192402
  3 42 1.46769
  4 42 0.00177333
  5 42 1.02261
  6 42 1.30155
  7 42 -0.513866
  8 42 0.763283
  9 42 0.902386
  10 42 -0.626251
  11 42 1.18707
  12 42 1.9709
  13 42 0.352479
  14 42 0.0536365
  15 42 -0.794667
  16 42 -0.390173
  17 42 -0.973039
  18 42 0.488483
  19 42 0.00375192
  20 42 0.909062
1100 20 840
  1 42 0.197521
  2 42 1.13973
  3 42 0.263397
  4 42 -1.42113
  5 42 0.339648
