# Chunk-averaged data for fix sternForces and group all
# Timestep Number-of-chunks Total-count
# Chunk Ncount c_sternComp
0 20 840
  1 42 -0.202213
  2 42 -0.202213
  3 42 -0.202213
  4 42 -0.202213
  5 42 -0.202213
  6 42 -0.202213
  7 42 -0.202213
  8 42 -0.202213
  9 42 -0.202213
  10 42 -0.202213
  11 42 -0.202213
  12 42 -0.202213
  13 42 -0.202213
  14 42 -0.202213
  15 42 -0.202213
  16 42 -0.202213
  17 42 -0.202213
  18 42 -0.202213
  19 42 -0.202213
  20 42 -0.202213
100 20 840
  1 42 0.854518
  2 42 -0.587222
  3 42 -1.36165
  4 42 -1.06404
  5 42 -0.63793
  6 42 -0.156131
  7 42 -0.78659
  8 42 1.25805
  9 42 2.0992
  10 42 -0.105725
  11 42 -0.29684
  12 42 -0.651782
  13 42 1.20729
  14 42 0.703995
  15 42 -2.04885
  16 42 -1.46067
  17 42 0.229197
  18 42 1.06898
  19 42 -0.062213
  20 42 1.64591
200 20 840
  1 42 -0.149242
  2 42 0.912428
  3 42 1.30074
  4 42 -1.94893
  5 42 0.960264
  6 42 -1.73709
  7 42 0.382837
  8 42 0.364758
  9 42 0.617
  10 42 2.6358
  11 42 0.819314
  12 42 -0.626423
  13 42 -0.794198
  14 42 -1.26079
  15 42 1.46073
  16 42 0.579146
  17 42 0.335683
  18 42 -0.917668
  19 42 2.06455
  20 42 0.506696
300 20 840
  1 42 0.395432
  2 42 -1.28415
  3 42 -3.12484
  4 42 0.212271
  5 42 -3.31566
  6 42 -1.7203
  7 42 -1.60382
  8 42 1.82305
  9 42 -1.49968
  10 42 2.96794
  11 42 -0.59565
  12 42 -0.11174
  13 42 2.7741
  14 42 -0.725031
  15 42 -1.06935
  16 42 -3.27834
  17 42 1.68069
  18 42 0.434031
  19 42 1.16378
  20 42 -2.10502
400 20 840
  1 42 -0.67129
  2 42 -0.619065
  3 42 -0.0792754
  4 42 1.39617
  5 42 1.03753
  6 42 -1.10647
  7 42 -0.856068
  8 42 0.518397
  9 42 0.745225
  10 42 -0.210094
  11 42 0.148377
  12 42 -0.226323
  13 42 0.0327198
  14 42 -0.266814
  15 42 0.968124
  16 42 -1.80706
  17 42 0.308585
  18 42 -0.146862
  19 42 0.144607
  20 42 -0.824365
500 20 840
  1 42 -1.56218
  2 42 0.825368
  3 42 -0.998954
  4 42 0.617966
  5 42 0.437471
  6 42 -1.38343
  7 42 -1.20634
  8 42 -0.345147
  9 42 -3.13827
  10 42 0.486406
  11 42 -0.200589
  12 42 1.65334
  13 42 -2.43146
  14 42 -0.230893
  15 42 -0.479704
  16 42 0.211321
  17 42 -0.376641
  18 42 -1.88263
  19 42 -0.923354
  20 42 0.73662
600 20 840
  1 42 -2.14726
  2 42 -1.15759
  3 42 1.56064
  4 42 0.661306
  5 42 -3.57806
  6 42 -0.154969
  7 42 -0.544766
  8 42 1.83777
  9 42 -0.723508
  10 42 -2.26465
  11 42 -1.45293
  12 42 -0.381252
  13 42 1.38315
  14 42 -1.03546
  15 42 0.590617
  16 42 0.858422
  17 42 -0.98678
  18 42 1.56594
  19 42 -0.162029
  20 42 0.579596
700 20 840
  1 42 -1.88295
  2 42 -0.46375
  3 42 2.1418
  4 42 0.886306
  5 42 -0.938721
  6 42 0.0860673
  7 42 -0.615441
  8 42 -0.930438
  9 42 0.306395
  10 42 -1.19421
  11 42 -1.72745
  12 42 0.0586544
  13 42 0.423393
  14 42 -0.373186
  15 42 0.519346
  16 42 0.616375
  17 42 0.269777
  18 42 -0.463702
  19 42 -3.02414
  20 42 0.63372
800 20 840
  1 42 -0.0857956
  2 42 -1.9476
  3 42 -2.35318
  4 42 -1.60815
  5 42 2.23244
  6 42 -0.0076503
  7 42 2.10389
  8 42 -2.33077
  9 42 0.302243
  10 42 0.563336
  11 42 -0.409836
  12 42 -0.620672
  13 42 0.698136
  14 42 0.861641
  15 42 -1.88319
  16 42 1.66035
  17 42 -0.962926
  18 42 -1.9696
  19 42 -0.437878
  20 42 0.195154
900 20 840
  1 42 -1.32741
  2 42 -0.692408
  3 42 0.643489
  4 42 -0.635226
  5 42 1.64346
  6 42 -0.226707
  7 42 0.60357
  8 42 -2.26713
  9 42 3.31389
  10 42 0.637445
  11 42 0.387191
  12 42 0.0287341
  13 42 0.243009
  14 42 -0.66133
  15 42 -0.784459
  16 42 1.17422
  17 42 -0.315173
  18 42 -0.590301
  19 42 -0.184028
  20 42 0.936854
1000 20 840
  1 42 0.420075
  2 42 -0.714144
  3 42 -0.681485
  4 42 0.770938
  5 42 -1.00053
  6 42 -1.0257
  7 42 -0.513444
  8 42 0.221181
  9 42 -1.17059
  10 42 0.583962
  11 42 -0.139307
  12 42 -1.53074
  13 42 0.213741
  14 42 -0.864426
  15 42 -0.493605
  16 42 0.400059
  17 42 -0.645094
  18 42 -0.421188
  19 42 0.05092
  20 42 0.149304
1100 20 840
  1 42 1.92636
  2 42 0.969874
  3 42 0.167315
  4 42 -2.98005
  5 42 2.26571
  6 42 -1.39993
  7 42 -0.3293
  8 42 -0.705361
  9 42 -0.161229
  10 42 -0.65315
  11 42 2.39326
  12 42 -1.1086
  13 42 -1.86187
  14 42 -0.409125
  15 42 -1.24269
  16 42 0.248869
  17 42 -1.87405
  18 42 1.32467
  19 42 0.313712
  20 42 1.00971
1200 20 840
  1 42 1.96084
  2 42 -0.0603381
  3 42 0.0300264
  4 42 0.665854
  5 42 2.37033
  6 42 0.413919
  7 42 -1.58711
  8 42 -0.953786
  9 42 -1.39082
  10 42 -0.0915424
  11 42 1.1381
  12 42 1.17766
  13 42 -1.44121
  14 42 0.766197
  15 42 -0.178755
  16 42 -0.15553
  17 42 -1.45759
  18 42 2.17759
  19 42 0.78419
  20 42 -0.976912
1300 20 840
  1 42 0.174505
  2 42 -0.80614
  3 42 -0.486105
  4 42 2.88052
  5 42 -2.32048
  6 42 -0.571357
  7 42 -2.2801
  8 42 0.634157
  9 42 -0.806234
  10 42 0.853979
  11 42 0.113893
  12 42 -0.212462
  13 42 -1.08199
  14 42 -2.60246
  15 42 -1.0999
  16 42 -1.11041
  17 42 -3.17371
  18 42 0.261437
  19 42 -1.63001
  20 42 -1.84344
1400 20 840
  1 42 -1.3681
  2 42 0.598329
  3 42 1.97799
