LAMMPS mapping of processors to 3d grid
partition = 1
Px Py Pz = 4 2 4
world-ID universe-ID original-ID: I J K: name

0 0 0: 1 1 1: compute-6-1.extreme
1 1 1: 1 1 2: compute-6-1.extreme
2 2 2: 1 1 3: compute-6-1.extreme
3 3 3: 1 1 4: compute-6-1.extreme
4 4 4: 1 2 1: compute-6-1.extreme
5 5 5: 1 2 2: compute-6-1.extreme
6 6 6: 1 2 3: compute-6-1.extreme
7 7 7: 1 2 4: compute-6-1.extreme
8 8 8: 2 1 1: compute-6-1.extreme
9 9 9: 2 1 2: compute-6-1.extreme
10 10 10: 2 1 3: compute-6-1.extreme
11 11 11: 2 1 4: compute-6-1.extreme
12 12 12: 2 2 1: compute-6-1.extreme
13 13 13: 2 2 2: compute-6-1.extreme
14 14 14: 2 2 3: compute-6-1.extreme
15 15 15: 2 2 4: compute-6-1.extreme
16 16 16: 3 1 1: compute-6-1.extreme
17 17 17: 3 1 2: compute-6-1.extreme
18 18 18: 3 1 3: compute-6-1.extreme
19 19 19: 3 1 4: compute-6-1.extreme
20 20 20: 3 2 1: compute-6-1.extreme
21 21 21: 3 2 2: compute-6-1.extreme
22 22 22: 3 2 3: compute-6-1.extreme
23 23 23: 3 2 4: compute-6-1.extreme
24 24 24: 4 1 1: compute-6-1.extreme
25 25 25: 4 1 2: compute-6-1.extreme
26 26 26: 4 1 3: compute-6-1.extreme
27 27 27: 4 1 4: compute-6-1.extreme
28 28 28: 4 2 1: compute-6-1.extreme
29 29 29: 4 2 2: compute-6-1.extreme
30 30 30: 4 2 3: compute-6-1.extreme
31 31 31: 4 2 4: compute-6-1.extreme
