ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
1344
ITEM: BOX BOUNDS pp pp pp
-1.8000000000000000e+04 3.0000000000000000e+04
-6.0000000000000000e+03 1.8000000000000000e+04
-1.8000000000000000e+04 3.0000000000000000e+04
ITEM: ATOMS id x y z
1 -12000 560.67 -12000
2 -11999.7 533.399 -11997.2
3 -11999.5 506.126 -11994.3
4 -11999.2 478.848 -11991.6
5 -11999 451.566 -11988.8
6 -11998.7 424.276 -11986.2
7 -11998.5 396.977 -11983.6
8 -11998.3 369.668 -11981.2
9 -11998 342.349 -11978.8
10 -11997.8 315.019 -11976.6
11 -11997.6 287.678 -11974.6
12 -11997.4 260.326 -11972.7
13 -11997.3 232.963 -11970.9
14 -11997.1 205.589 -11969.3
15 -11997 178.206 -11967.9
16 -11996.9 150.811 -11966.7
17 -11996.8 123.41 -11965.7
18 -11996.7 96.001 -11965
19 -11996.6 68.5869 -11964.4
20 -11996.6 41.1692 -11964.1
21 -11996.6 13.7496 -11964
22 -11996.5 -13.6702 -11964.1
23 -11996.6 -41.0884 -11964.4
24 -11996.6 -68.5036 -11964.9
25 -11996.7 -95.9146 -11965.6
26 -11996.7 -123.321 -11966.5
27 -11996.8 -150.721 -11967.5
28 -11997 -178.113 -11968.8
29 -11997.1 -205.495 -11970.2
30 -11997.2 -232.869 -11971.8
31 -11997.4 -260.232 -11973.5
32 -11997.6 -287.584 -11975.5
33 -11997.8 -314.925 -11977.5
34 -11998 -342.255 -11979.7
35 -11998.2 -369.577 -11982.1
36 -11998.5 -396.891 -11984.5
37 -11998.7 -424.199 -11986.9
38 -11998.9 -451.5 -11989.5
39 -11999.2 -478.797 -11992.1
40 -11999.4 -506.091 -11994.7
41 -11999.7 -533.383 -11997.3
42 -12000 -560.671 -12000
43 -12000 560.67 1.56319e-13
44 -11999.7 533.399 2.8393
45 -11999.5 506.126 5.656
46 -11999.2 478.848 8.4347
47 -11999 451.566 11.1605
48 -11998.7 424.276 13.8124
49 -11998.5 396.977 16.3719
50 -11998.3 369.668 18.8237
51 -11998 342.349 21.1568
52 -11997.8 315.019 23.3612
53 -11997.6 287.678 25.4259
54 -11997.4 260.326 27.3398
55 -11997.3 232.963 29.094
56 -11997.1 205.589 30.6801
57 -11997 178.206 32.0792
58 -11996.9 150.811 33.2723
59 -11996.8 123.41 34.2509
60 -11996.7 96.001 35.0163
61 -11996.6 68.5869 35.5676
62 -11996.6 41.1692 35.9053
63 -11996.6 13.7496 36.025
64 -11996.5 -13.6702 35.9236
65 -11996.6 -41.0884 35.6105
66 -11996.6 -68.5036 35.0999
67 -11996.7 -95.9146 34.4046
68 -11996.7 -123.321 33.5306
69 -11996.8 -150.721 32.4774
70 -11997 -178.113 31.2383
71 -11997.1 -205.495 29.8154
72 -11997.2 -232.869 28.2178
73 -11997.4 -260.232 26.4557
74 -11997.6 -287.584 24.5345
75 -11997.8 -314.925 22.4625
76 -11998 -342.255 20.2554
77 -11998.2 -369.577 17.9389
78 -11998.5 -396.891 15.534
79 -11998.7 -424.199 13.0536
80 -11998.9 -451.5 10.5162
81 -11999.2 -478.797 7.936
82 -11999.4 -506.091 5.3209
83 -11999.7 -533.383 2.6728
84 -12000 -560.671 1.56319e-13
85 -12000 560.67 12000
86 -11999.7 533.399 12002.8
87 -11999.5 506.126 12005.7
88 -11999.2 478.848 12008.4
89 -11999 451.566 12011.2
90 -11998.7 424.276 12013.8
91 -11998.5 396.977 12016.4
92 -11998.3 369.668 12018.8
93 -11998 342.349 12021.2
94 -11997.8 315.019 12023.4
95 -11997.6 287.678 12025.4
96 -11997.4 260.326 12027.3
97 -11997.3 232.963 12029.1
98 -11997.1 205.589 12030.7
99 -11997 178.206 12032.1
100 -11996.9 150.811 12033.3
101 -11996.8 123.41 12034.3
102 -11996.7 96.001 12035
103 -11996.6 68.5869 12035.6
104 -11996.6 41.1692 12035.9
105 -11996.6 13.7496 12036
106 -11996.5 -13.6702 12035.9
107 -11996.6 -41.0884 12035.6
108 -11996.6 -68.5036 12035.1
109 -11996.7 -95.9146 12034.4
110 -11996.7 -123.321 12033.5
111 -11996.8 -150.721 12032.5
112 -11997 -178.113 12031.2
113 -11997.1 -205.495 12029.8
114 -11997.2 -232.869 12028.2
115 -11997.4 -260.232 12026.5
116 -11997.6 -287.584 12024.5
117 -11997.8 -314.925 12022.5
118 -11998 -342.255 12020.3
119 -11998.2 -369.577 12017.9
120 -11998.5 -396.891 12015.5
121 -11998.7 -424.199 12013.1
122 -11998.9 -451.5 12010.5
123 -11999.2 -478.797 12007.9
124 -11999.4 -506.091 12005.3
125 -11999.7 -533.383 12002.7
126 -12000 -560.671 12000
127 -12000 560.67 24000
128 -11999.7 533.399 24002.8
129 -11999.5 506.126 24005.7
130 -11999.2 478.848 24008.4
131 -11999 451.566 24011.2
132 -11998.7 424.276 24013.8
133 -11998.5 396.977 24016.4
134 -11998.3 369.668 24018.8
135 -11998 342.349 24021.2
136 -11997.8 315.019 24023.4
137 -11997.6 287.678 24025.4
138 -11997.4 260.326 24027.3
139 -11997.3 232.963 24029.1
140 -11997.1 205.589 24030.7
141 -11997 178.206 24032.1
142 -11996.9 150.811 24033.3
143 -11996.8 123.41 24034.3
144 -11996.7 96.001 24035
145 -11996.6 68.5869 24035.6
146 -11996.6 41.1692 24035.9
147 -11996.6 13.7496 24036
148 -11996.5 -13.6702 24035.9
149 -11996.6 -41.0884 24035.6
150 -11996.6 -68.5036 24035.1
151 -11996.7 -95.9146 24034.4
152 -11996.7 -123.321 24033.5
153 -11996.8 -150.721 24032.5
154 -11997 -178.113 24031.2
155 -11997.1 -205.495 24029.8
156 -11997.2 -232.869 24028.2
157 -11997.4 -260.232 24026.5
158 -11997.6 -287.584 24024.5
159 -11997.8 -314.925 24022.5
160 -11998 -342.255 24020.3
161 -11998.2 -369.577 24017.9
162 -11998.5 -396.891 24015.5
163 -11998.7 -424.199 24013.1
164 -11998.9 -451.5 24010.5
165 -11999.2 -478.797 24007.9
166 -11999.4 -506.091 24005.3
167 -11999.7 -533.383 24002.7
168 -12000 -560.671 24000
169 -12000 12560.7 -12000
170 -11999.7 12533.4 -11997.2
171 -11999.5 12506.1 -11994.3
172 -11999.2 12478.8 -11991.6
173 -11999 12451.6 -11988.8
174 -11998.7 12424.3 -11986.2
175 -11998.5 12397 -11983.6
176 -11998.3 12369.7 -11981.2
177 -11998 12342.3 -11978.8
178 -11997.8 12315 -11976.6
179 -11997.6 12287.7 -11974.6
180 -11997.4 12260.3 -11972.7
181 -11997.3 12233 -11970.9
182 -11997.1 12205.6 -11969.3
183 -11997 12178.2 -11967.9
184 -11996.9 12150.8 -11966.7
185 -11996.8 12123.4 -11965.7
186 -11996.7 12096 -11965
187 -11996.6 12068.6 -11964.4
188 -11996.6 12041.2 -11964.1
189 -11996.6 12013.7 -11964
190 -11996.5 11986.3 -11964.1
191 -11996.6 11958.9 -11964.4
192 -11996.6 11931.5 -11964.9
193 -11996.7 11904.1 -11965.6
194 -11996.7 11876.7 -11966.5
195 -11996.8 11849.3 -11967.5
196 -11997 11821.9 -11968.8
197 -11997.1 11794.5 -11970.2
198 -11997.2 11767.1 -11971.8
199 -11997.4 11739.8 -11973.5
200 -11997.6 11712.4 -11975.5
201 -11997.8 11685.1 -11977.5
202 -11998 11657.7 -11979.7
203 -11998.2 11630.4 -11982.1
204 -11998.5 11603.1 -11984.5
205 -11998.7 11575.8 -11986.9
206 -11998.9 11548.5 -11989.5
207 -11999.2 11521.2 -11992.1
208 -11999.4 11493.9 -11994.7
209 -11999.7 11466.6 -11997.3
210 -12000 11439.3 -12000
211 -12000 12560.7 1.56319e-13
212 -11999.7 12533.4 2.8393
213 -11999.5 12506.1 5.656
214 -11999.2 12478.8 8.4347
215 -11999 12451.6 11.1605
216 -11998.7 12424.3 13.8124
217 -11998.5 12397 16.3719
218 -11998.3 12369.7 18.8237
219 -11998 12342.3 21.1568
220 -11997.8 12315 23.3612
221 -11997.6 12287.7 25.4259
222 -11997.4 12260.3 27.3398
223 -11997.3 12233 29.094
224 -11997.1 12205.6 30.6801
225 -11997 12178.2 32.0792
226 -11996.9 12150.8 33.2723
227 -11996.8 12123.4 34.2509
228 -11996.7 12096 35.0163
229 -11996.6 12068.6 35.5676
230 -11996.6 12041.2 35.9053
231 -11996.6 12013.7 36.025
232 -11996.5 11986.3 35.9236
233 -11996.6 11958.9 35.6105
234 -11996.6 11931.5 35.0999
235 -11996.7 11904.1 34.4046
236 -11996.7 11876.7 33.5306
